n:1 mse_avg:29.35 mse_y:36.65 mse_u:17.99 mse_v:11.51 psnr_avg:33.45 psnr_y:32.49 psnr_u:35.58 psnr_v:37.52 
n:2 mse_avg:490.64 mse_y:710.58 mse_u:78.49 mse_v:23.06 psnr_avg:21.22 psnr_y:19.61 psnr_u:29.18 psnr_v:34.50 
n:3 mse_avg:842.32 mse_y:1224.78 mse_u:122.91 mse_v:31.91 psnr_avg:18.88 psnr_y:17.25 psnr_u:27.24 psnr_v:33.09 
n:4 mse_avg:1078.72 mse_y:1571.28 mse_u:149.57 mse_v:37.61 psnr_avg:17.80 psnr_y:16.17 psnr_u:26.38 psnr_v:32.38 
n:5 mse_avg:1117.54 mse_y:1625.70 mse_u:163.65 mse_v:38.79 psnr_avg:17.65 psnr_y:16.02 psnr_u:25.99 psnr_v:32.24 
n:6 mse_avg:1091.09 mse_y:1586.45 mse_u:160.59 mse_v:40.13 psnr_avg:17.75 psnr_y:16.13 psnr_u:26.07 psnr_v:32.10 
n:7 mse_avg:1042.66 mse_y:1516.77 mse_u:150.60 mse_v:38.25 psnr_avg:17.95 psnr_y:16.32 psnr_u:26.35 psnr_v:32.30 
n:8 mse_avg:1093.01 mse_y:1591.37 mse_u:154.91 mse_v:37.66 psnr_avg:17.74 psnr_y:16.11 psnr_u:26.23 psnr_v:32.37 
n:9 mse_avg:1004.85 mse_y:1462.76 mse_u:141.59 mse_v:36.46 psnr_avg:18.11 psnr_y:16.48 psnr_u:26.62 psnr_v:32.51 
n:10 mse_avg:917.39 mse_y:1335.19 mse_u:129.73 mse_v:33.86 psnr_avg:18.51 psnr_y:16.88 psnr_u:27.00 psnr_v:32.83 
n:11 mse_avg:972.96 mse_y:1415.22 mse_u:142.88 mse_v:34.03 psnr_avg:18.25 psnr_y:16.62 psnr_u:26.58 psnr_v:32.81 
n:12 mse_avg:916.03 mse_y:1331.09 mse_u:138.23 mse_v:33.57 psnr_avg:18.51 psnr_y:16.89 psnr_u:26.72 psnr_v:32.87 
n:13 mse_avg:872.34 mse_y:1266.91 mse_u:131.57 mse_v:34.81 psnr_avg:18.72 psnr_y:17.10 psnr_u:26.94 psnr_v:32.71 
n:14 mse_avg:893.79 mse_y:1298.78 mse_u:132.83 mse_v:34.75 psnr_avg:18.62 psnr_y:17.00 psnr_u:26.90 psnr_v:32.72 
n:15 mse_avg:952.68 mse_y:1384.44 mse_u:142.03 mse_v:36.31 psnr_avg:18.34 psnr_y:16.72 psnr_u:26.61 psnr_v:32.53 
n:16 mse_avg:979.79 mse_y:1423.81 mse_u:146.52 mse_v:36.94 psnr_avg:18.22 psnr_y:16.60 psnr_u:26.47 psnr_v:32.46 
n:17 mse_avg:1005.29 mse_y:1460.79 mse_u:151.38 mse_v:37.19 psnr_avg:18.11 psnr_y:16.48 psnr_u:26.33 psnr_v:32.43 
