n:1 mse_avg:200.97 mse_y:282.23 mse_u:56.99 mse_v:19.93 psnr_avg:25.10 psnr_y:23.62 psnr_u:30.57 psnr_v:35.14 
n:2 mse_avg:448.07 mse_y:647.12 mse_u:76.41 mse_v:23.50 psnr_avg:21.62 psnr_y:20.02 psnr_u:29.30 psnr_v:34.42 
n:3 mse_avg:723.28 mse_y:1051.43 mse_u:105.17 mse_v:28.77 psnr_avg:19.54 psnr_y:17.91 psnr_u:27.91 psnr_v:33.54 
n:4 mse_avg:945.55 mse_y:1379.38 mse_u:122.10 mse_v:33.65 psnr_avg:18.37 psnr_y:16.73 psnr_u:27.26 psnr_v:32.86 
n:5 mse_avg:986.04 mse_y:1436.92 mse_u:135.34 mse_v:33.22 psnr_avg:18.19 psnr_y:16.56 psnr_u:26.82 psnr_v:32.92 
n:6 mse_avg:967.14 mse_y:1408.52 mse_u:134.90 mse_v:33.88 psnr_avg:18.28 psnr_y:16.64 psnr_u:26.83 psnr_v:32.83 
n:7 mse_avg:929.30 mse_y:1354.95 mse_u:123.48 mse_v:32.55 psnr_avg:18.45 psnr_y:16.81 psnr_u:27.21 psnr_v:33.01 
n:8 mse_avg:971.22 mse_y:1416.62 mse_u:128.69 mse_v:32.13 psnr_avg:18.26 psnr_y:16.62 psnr_u:27.04 psnr_v:33.06 
n:9 mse_avg:895.14 mse_y:1304.18 mse_u:122.37 mse_v:31.75 psnr_avg:18.61 psnr_y:16.98 psnr_u:27.25 psnr_v:33.11 
n:10 mse_avg:838.38 mse_y:1221.21 mse_u:115.26 mse_v:30.21 psnr_avg:18.90 psnr_y:17.26 psnr_u:27.51 psnr_v:33.33 
n:11 mse_avg:857.37 mse_y:1247.47 mse_u:124.67 mse_v:29.66 psnr_avg:18.80 psnr_y:17.17 psnr_u:27.17 psnr_v:33.41 
n:12 mse_avg:779.03 mse_y:1132.23 mse_u:115.54 mse_v:29.73 psnr_avg:19.22 psnr_y:17.59 psnr_u:27.50 psnr_v:33.40 
n:13 mse_avg:735.69 mse_y:1067.86 mse_u:111.35 mse_v:31.37 psnr_avg:19.46 psnr_y:17.85 psnr_u:27.66 psnr_v:33.17 
n:14 mse_avg:740.94 mse_y:1074.97 mse_u:113.23 mse_v:32.50 psnr_avg:19.43 psnr_y:17.82 psnr_u:27.59 psnr_v:33.01 
n:15 mse_avg:784.70 mse_y:1138.76 mse_u:119.89 mse_v:33.32 psnr_avg:19.18 psnr_y:17.57 psnr_u:27.34 psnr_v:32.90 
n:16 mse_avg:799.27 mse_y:1160.11 mse_u:121.49 mse_v:33.71 psnr_avg:19.10 psnr_y:17.49 psnr_u:27.29 psnr_v:32.85 
n:17 mse_avg:814.97 mse_y:1183.35 mse_u:122.08 mse_v:34.34 psnr_avg:19.02 psnr_y:17.40 psnr_u:27.26 psnr_v:32.77 
n:18 mse_avg:823.77 mse_y:1196.23 mse_u:123.69 mse_v:34.00 psnr_avg:18.97 psnr_y:17.35 psnr_u:27.21 psnr_v:32.82 
n:19 mse_avg:865.23 mse_y:1259.21 mse_u:122.15 mse_v:32.40 psnr_avg:18.76 psnr_y:17.13 psnr_u:27.26 psnr_v:33.03 
n:20 mse_avg:788.56 mse_y:1145.53 mse_u:118.24 mse_v:30.97 psnr_avg:19.16 psnr_y:17.54 psnr_u:27.40 psnr_v:33.22 
n:21 mse_avg:768.58 mse_y:1115.29 mse_u:118.79 mse_v:31.55 psnr_avg:19.27 psnr_y:17.66 psnr_u:27.38 psnr_v:33.14 
n:22 mse_avg:689.08 mse_y:997.44 mse_u:114.06 mse_v:30.70 psnr_avg:19.75 psnr_y:18.14 psnr_u:27.56 psnr_v:33.26 
n:23 mse_avg:649.36 mse_y:939.58 mse_u:107.18 mse_v:30.66 psnr_avg:20.01 psnr_y:18.40 psnr_u:27.83 psnr_v:33.27 
n:24 mse_avg:687.42 mse_y:996.78 mse_u:107.36 mse_v:30.04 psnr_avg:19.76 psnr_y:18.14 psnr_u:27.82 psnr_v:33.35 
n:25 mse_avg:809.42 mse_y:1176.84 mse_u:117.20 mse_v:31.96 psnr_avg:19.05 psnr_y:17.42 psnr_u:27.44 psnr_v:33.08 
n:26 mse_avg:800.95 mse_y:1163.60 mse_u:119.56 mse_v:31.73 psnr_avg:19.09 psnr_y:17.47 psnr_u:27.35 psnr_v:33.12 
n:27 mse_avg:762.38 mse_y:1106.19 mse_u:118.52 mse_v:31.02 psnr_avg:19.31 psnr_y:17.69 psnr_u:27.39 psnr_v:33.21 
n:28 mse_avg:683.41 mse_y:988.13 mse_u:117.73 mse_v:30.19 psnr_avg:19.78 psnr_y:18.18 psnr_u:27.42 psnr_v:33.33 
n:29 mse_avg:737.41 mse_y:1069.37 mse_u:116.58 mse_v:30.41 psnr_avg:19.45 psnr_y:17.84 psnr_u:27.46 psnr_v:33.30 
n:30 mse_avg:783.76 mse_y:1137.72 mse_u:119.21 mse_v:32.51 psnr_avg:19.19 psnr_y:17.57 psnr_u:27.37 psnr_v:33.01 
n:31 mse_avg:679.93 mse_y:982.95 mse_u:115.82 mse_v:31.94 psnr_avg:19.81 psnr_y:18.21 psnr_u:27.49 psnr_v:33.09 
n:32 mse_avg:638.01 mse_y:921.26 mse_u:111.16 mse_v:31.82 psnr_avg:20.08 psnr_y:18.49 psnr_u:27.67 psnr_v:33.10 
n:33 mse_avg:625.22 mse_y:903.43 mse_u:107.41 mse_v:30.21 psnr_avg:20.17 psnr_y:18.57 psnr_u:27.82 psnr_v:33.33 
n:34 mse_avg:661.12 mse_y:956.88 mse_u:107.90 mse_v:31.30 psnr_avg:19.93 psnr_y:18.32 psnr_u:27.80 psnr_v:33.18 
n:35 mse_avg:628.79 mse_y:908.62 mse_u:106.43 mse_v:31.84 psnr_avg:20.15 psnr_y:18.55 psnr_u:27.86 psnr_v:33.10 
n:36 mse_avg:600.94 mse_y:867.22 mse_u:105.47 mse_v:31.32 psnr_avg:20.34 psnr_y:18.75 psnr_u:27.90 psnr_v:33.17 
n:37 mse_avg:627.18 mse_y:906.48 mse_u:106.03 mse_v:31.15 psnr_avg:20.16 psnr_y:18.56 psnr_u:27.88 psnr_v:33.20 
n:38 mse_avg:625.78 mse_y:905.52 mse_u:102.03 mse_v:30.60 psnr_avg:20.17 psnr_y:18.56 psnr_u:28.04 psnr_v:33.27 
n:39 mse_avg:604.24 mse_y:872.45 mse_u:103.88 mse_v:31.75 psnr_avg:20.32 psnr_y:18.72 psnr_u:27.97 psnr_v:33.11 
n:40 mse_avg:584.26 mse_y:842.83 mse_u:102.35 mse_v:31.87 psnr_avg:20.46 psnr_y:18.87 psnr_u:28.03 psnr_v:33.10 
n:41 mse_avg:573.00 mse_y:825.87 mse_u:102.79 mse_v:31.75 psnr_avg:20.55 psnr_y:18.96 psnr_u:28.01 psnr_v:33.11 
n:42 mse_avg:575.95 mse_y:830.84 mse_u:100.68 mse_v:31.69 psnr_avg:20.53 psnr_y:18.94 psnr_u:28.10 psnr_v:33.12 
n:43 mse_avg:548.94 mse_y:790.45 mse_u:99.73 mse_v:32.15 psnr_avg:20.74 psnr_y:19.15 psnr_u:28.14 psnr_v:33.06 
n:44 mse_avg:533.44 mse_y:767.28 mse_u:99.48 mse_v:32.03 psnr_avg:20.86 psnr_y:19.28 psnr_u:28.15 psnr_v:33.08 
n:45 mse_avg:571.02 mse_y:823.14 mse_u:100.38 mse_v:33.15 psnr_avg:20.56 psnr_y:18.98 psnr_u:28.11 psnr_v:32.93 
n:46 mse_avg:523.66 mse_y:752.41 mse_u:99.31 mse_v:32.99 psnr_avg:20.94 psnr_y:19.37 psnr_u:28.16 psnr_v:32.95 
n:47 mse_avg:534.62 mse_y:769.09 mse_u:98.51 mse_v:32.82 psnr_avg:20.85 psnr_y:19.27 psnr_u:28.20 psnr_v:32.97 
n:48 mse_avg:541.46 mse_y:779.78 mse_u:97.22 mse_v:32.47 psnr_avg:20.80 psnr_y:19.21 psnr_u:28.25 psnr_v:33.02 
