n:1 mse_avg:16.66 mse_y:19.41 mse_u:13.05 mse_v:9.26 psnr_avg:35.92 psnr_y:35.25 psnr_u:36.97 psnr_v:38.46 
n:2 mse_avg:504.35 mse_y:731.09 mse_u:79.67 mse_v:22.08 psnr_avg:21.10 psnr_y:19.49 psnr_u:29.12 psnr_v:34.69 
n:3 mse_avg:856.68 mse_y:1245.78 mse_u:125.76 mse_v:31.19 psnr_avg:18.80 psnr_y:17.18 psnr_u:27.14 psnr_v:33.19 
n:4 mse_avg:1095.31 mse_y:1595.83 mse_u:152.02 mse_v:36.56 psnr_avg:17.74 psnr_y:16.10 psnr_u:26.31 psnr_v:32.50 
n:5 mse_avg:1130.65 mse_y:1645.24 mse_u:165.63 mse_v:37.34 psnr_avg:17.60 psnr_y:15.97 psnr_u:25.94 psnr_v:32.41 
n:6 mse_avg:1110.29 mse_y:1615.10 mse_u:162.91 mse_v:38.42 psnr_avg:17.68 psnr_y:16.05 psnr_u:26.01 psnr_v:32.29 
n:7 mse_avg:1061.92 mse_y:1545.40 mse_u:153.21 mse_v:36.70 psnr_avg:17.87 psnr_y:16.24 psnr_u:26.28 psnr_v:32.48 
n:8 mse_avg:1113.23 mse_y:1621.49 mse_u:156.87 mse_v:36.51 psnr_avg:17.66 psnr_y:16.03 psnr_u:26.18 psnr_v:32.51 
n:9 mse_avg:1021.47 mse_y:1487.54 mse_u:143.35 mse_v:35.30 psnr_avg:18.04 psnr_y:16.41 psnr_u:26.57 psnr_v:32.65 
n:10 mse_avg:940.61 mse_y:1369.68 mse_u:131.96 mse_v:32.98 psnr_avg:18.40 psnr_y:16.76 psnr_u:26.93 psnr_v:32.95 
n:11 mse_avg:998.17 mse_y:1452.35 mse_u:146.43 mse_v:33.21 psnr_avg:18.14 psnr_y:16.51 psnr_u:26.47 psnr_v:32.92 
n:12 mse_avg:942.48 mse_y:1370.12 mse_u:141.58 mse_v:32.80 psnr_avg:18.39 psnr_y:16.76 psnr_u:26.62 psnr_v:32.97 
n:13 mse_avg:893.46 mse_y:1297.81 mse_u:135.58 mse_v:33.96 psnr_avg:18.62 psnr_y:17.00 psnr_u:26.81 psnr_v:32.82 
n:14 mse_avg:919.54 mse_y:1336.67 mse_u:136.31 mse_v:34.24 psnr_avg:18.50 psnr_y:16.87 psnr_u:26.79 psnr_v:32.79 
n:15 mse_avg:981.64 mse_y:1427.05 mse_u:145.66 mse_v:35.98 psnr_avg:18.21 psnr_y:16.59 psnr_u:26.50 psnr_v:32.57 
n:16 mse_avg:1011.90 mse_y:1471.16 mse_u:150.11 mse_v:36.62 psnr_avg:18.08 psnr_y:16.45 psnr_u:26.37 psnr_v:32.49 
n:17 mse_avg:1030.41 mse_y:1497.85 mse_u:154.58 mse_v:36.46 psnr_avg:18.00 psnr_y:16.38 psnr_u:26.24 psnr_v:32.51 
n:18 mse_avg:1040.47 mse_y:1512.75 mse_u:155.57 mse_v:36.22 psnr_avg:17.96 psnr_y:16.33 psnr_u:26.21 psnr_v:32.54 
n:19 mse_avg:1103.21 mse_y:1605.96 mse_u:159.51 mse_v:35.88 psnr_avg:17.70 psnr_y:16.07 psnr_u:26.10 psnr_v:32.58 
n:20 mse_avg:1041.35 mse_y:1515.05 mse_u:153.84 mse_v:34.10 psnr_avg:17.95 psnr_y:16.33 psnr_u:26.26 psnr_v:32.80 
n:21 mse_avg:1015.60 mse_y:1476.71 mse_u:152.54 mse_v:34.22 psnr_avg:18.06 psnr_y:16.44 psnr_u:26.30 psnr_v:32.79 
n:22 mse_avg:919.68 mse_y:1336.86 mse_u:138.71 mse_v:31.93 psnr_avg:18.49 psnr_y:16.87 psnr_u:26.71 psnr_v:33.09 
n:23 mse_avg:865.73 mse_y:1258.06 mse_u:130.47 mse_v:31.64 psnr_avg:18.76 psnr_y:17.13 psnr_u:26.98 psnr_v:33.13 
n:24 mse_avg:934.65 mse_y:1360.04 mse_u:135.64 mse_v:32.13 psnr_avg:18.42 psnr_y:16.80 psnr_u:26.81 psnr_v:33.06 
n:25 mse_avg:1062.90 mse_y:1546.25 mse_u:155.48 mse_v:36.91 psnr_avg:17.87 psnr_y:16.24 psnr_u:26.21 psnr_v:32.46 
n:26 mse_avg:1048.21 mse_y:1523.73 mse_u:157.16 mse_v:37.20 psnr_avg:17.93 psnr_y:16.30 psnr_u:26.17 psnr_v:32.43 
n:27 mse_avg:1020.65 mse_y:1482.97 mse_u:156.58 mse_v:35.46 psnr_avg:18.04 psnr_y:16.42 psnr_u:26.18 psnr_v:32.63 
n:28 mse_avg:929.39 mse_y:1349.46 mse_u:147.05 mse_v:31.46 psnr_avg:18.45 psnr_y:16.83 psnr_u:26.46 psnr_v:33.15 
n:29 mse_avg:1004.31 mse_y:1459.56 mse_u:153.79 mse_v:33.83 psnr_avg:18.11 psnr_y:16.49 psnr_u:26.26 psnr_v:32.84 
n:30 mse_avg:1045.16 mse_y:1518.83 mse_u:159.31 mse_v:36.35 psnr_avg:17.94 psnr_y:16.32 psnr_u:26.11 psnr_v:32.53 
n:31 mse_avg:937.06 mse_y:1360.26 mse_u:147.65 mse_v:33.67 psnr_avg:18.41 psnr_y:16.79 psnr_u:26.44 psnr_v:32.86 
n:32 mse_avg:914.42 mse_y:1328.12 mse_u:140.83 mse_v:33.18 psnr_avg:18.52 psnr_y:16.90 psnr_u:26.64 psnr_v:32.92 
n:33 mse_avg:930.78 mse_y:1352.99 mse_u:140.36 mse_v:32.38 psnr_avg:18.44 psnr_y:16.82 psnr_u:26.66 psnr_v:33.03 
n:34 mse_avg:946.43 mse_y:1376.17 mse_u:141.00 mse_v:32.94 psnr_avg:18.37 psnr_y:16.74 psnr_u:26.64 psnr_v:32.95 
n:35 mse_avg:908.90 mse_y:1321.16 mse_u:136.43 mse_v:32.33 psnr_avg:18.55 psnr_y:16.92 psnr_u:26.78 psnr_v:33.03 
n:36 mse_avg:871.43 mse_y:1266.84 mse_u:129.97 mse_v:31.29 psnr_avg:18.73 psnr_y:17.10 psnr_u:26.99 psnr_v:33.18 
n:37 mse_avg:928.98 mse_y:1350.89 mse_u:137.13 mse_v:33.21 psnr_avg:18.45 psnr_y:16.82 psnr_u:26.76 psnr_v:32.92 
n:38 mse_avg:930.60 mse_y:1354.18 mse_u:134.01 mse_v:32.88 psnr_avg:18.44 psnr_y:16.81 psnr_u:26.86 psnr_v:32.96 
n:39 mse_avg:894.17 mse_y:1300.68 mse_u:129.79 mse_v:32.50 psnr_avg:18.62 psnr_y:16.99 psnr_u:27.00 psnr_v:33.01 
n:40 mse_avg:870.54 mse_y:1266.15 mse_u:126.44 mse_v:32.22 psnr_avg:18.73 psnr_y:17.11 psnr_u:27.11 psnr_v:33.05 
n:41 mse_avg:881.81 mse_y:1282.33 mse_u:128.17 mse_v:33.38 psnr_avg:18.68 psnr_y:17.05 psnr_u:27.05 psnr_v:32.90 
n:42 mse_avg:875.78 mse_y:1274.25 mse_u:125.15 mse_v:32.55 psnr_avg:18.71 psnr_y:17.08 psnr_u:27.16 psnr_v:33.01 
n:43 mse_avg:809.69 mse_y:1177.48 mse_u:117.28 mse_v:30.90 psnr_avg:19.05 psnr_y:17.42 psnr_u:27.44 psnr_v:33.23 
n:44 mse_avg:832.17 mse_y:1211.04 mse_u:117.76 mse_v:31.06 psnr_avg:18.93 psnr_y:17.30 psnr_u:27.42 psnr_v:33.21 
n:45 mse_avg:861.78 mse_y:1254.19 mse_u:121.30 mse_v:32.64 psnr_avg:18.78 psnr_y:17.15 psnr_u:27.29 psnr_v:32.99 
n:46 mse_avg:755.31 mse_y:1098.69 mse_u:107.24 mse_v:29.88 psnr_avg:19.35 psnr_y:17.72 psnr_u:27.83 psnr_v:33.38 
n:47 mse_avg:792.05 mse_y:1152.28 mse_u:112.47 mse_v:30.72 psnr_avg:19.14 psnr_y:17.52 psnr_u:27.62 psnr_v:33.26 
n:48 mse_avg:806.51 mse_y:1173.88 mse_u:112.62 mse_v:30.93 psnr_avg:19.06 psnr_y:17.43 psnr_u:27.61 psnr_v:33.23 
n:49 mse_avg:800.47 mse_y:1164.53 mse_u:113.16 mse_v:31.55 psnr_avg:19.10 psnr_y:17.47 psnr_u:27.59 psnr_v:33.14 
n:50 mse_avg:803.74 mse_y:1169.82 mse_u:112.48 mse_v:30.67 psnr_avg:19.08 psnr_y:17.45 psnr_u:27.62 psnr_v:33.26 
n:51 mse_avg:887.85 mse_y:1290.04 mse_u:131.67 mse_v:35.28 psnr_avg:18.65 psnr_y:17.02 psnr_u:26.94 psnr_v:32.66 
n:52 mse_avg:885.96 mse_y:1288.95 mse_u:125.57 mse_v:34.39 psnr_avg:18.66 psnr_y:17.03 psnr_u:27.14 psnr_v:32.77 
n:53 mse_avg:892.62 mse_y:1298.44 mse_u:126.66 mse_v:35.27 psnr_avg:18.62 psnr_y:17.00 psnr_u:27.10 psnr_v:32.66 
n:54 mse_avg:867.46 mse_y:1262.32 mse_u:121.40 mse_v:34.08 psnr_avg:18.75 psnr_y:17.12 psnr_u:27.29 psnr_v:32.81 
n:55 mse_avg:887.46 mse_y:1290.76 mse_u:127.59 mse_v:34.17 psnr_avg:18.65 psnr_y:17.02 psnr_u:27.07 psnr_v:32.79 
n:56 mse_avg:875.24 mse_y:1273.27 mse_u:124.63 mse_v:33.69 psnr_avg:18.71 psnr_y:17.08 psnr_u:27.17 psnr_v:32.86 
n:57 mse_avg:870.43 mse_y:1265.88 mse_u:125.42 mse_v:33.62 psnr_avg:18.73 psnr_y:17.11 psnr_u:27.15 psnr_v:32.87 
n:58 mse_avg:872.96 mse_y:1269.64 mse_u:125.36 mse_v:33.88 psnr_avg:18.72 psnr_y:17.09 psnr_u:27.15 psnr_v:32.83 
n:59 mse_avg:905.58 mse_y:1316.49 mse_u:132.73 mse_v:34.78 psnr_avg:18.56 psnr_y:16.94 psnr_u:26.90 psnr_v:32.72 
n:60 mse_avg:903.82 mse_y:1314.98 mse_u:129.09 mse_v:33.88 psnr_avg:18.57 psnr_y:16.94 psnr_u:27.02 psnr_v:32.83 
n:61 mse_avg:927.35 mse_y:1348.64 mse_u:134.55 mse_v:35.01 psnr_avg:18.46 psnr_y:16.83 psnr_u:26.84 psnr_v:32.69 
n:62 mse_avg:869.63 mse_y:1263.68 mse_u:128.73 mse_v:34.33 psnr_avg:18.74 psnr_y:17.11 psnr_u:27.03 psnr_v:32.77 
n:63 mse_avg:901.24 mse_y:1309.15 mse_u:135.48 mse_v:35.33 psnr_avg:18.58 psnr_y:16.96 psnr_u:26.81 psnr_v:32.65 
n:64 mse_avg:931.62 mse_y:1353.88 mse_u:138.92 mse_v:35.27 psnr_avg:18.44 psnr_y:16.81 psnr_u:26.70 psnr_v:32.66 
n:65 mse_avg:954.85 mse_y:1387.32 mse_u:143.97 mse_v:35.86 psnr_avg:18.33 psnr_y:16.71 psnr_u:26.55 psnr_v:32.59 
n:66 mse_avg:959.88 mse_y:1394.47 mse_u:145.09 mse_v:36.28 psnr_avg:18.31 psnr_y:16.69 psnr_u:26.51 psnr_v:32.53 
n:67 mse_avg:940.03 mse_y:1363.94 mse_u:148.05 mse_v:36.40 psnr_avg:18.40 psnr_y:16.78 psnr_u:26.43 psnr_v:32.52 
n:68 mse_avg:922.51 mse_y:1339.06 mse_u:142.92 mse_v:35.91 psnr_avg:18.48 psnr_y:16.86 psnr_u:26.58 psnr_v:32.58 
n:69 mse_avg:917.72 mse_y:1331.59 mse_u:144.16 mse_v:35.80 psnr_avg:18.50 psnr_y:16.89 psnr_u:26.54 psnr_v:32.59 
n:70 mse_avg:991.95 mse_y:1440.02 mse_u:155.37 mse_v:36.26 psnr_avg:18.17 psnr_y:16.55 psnr_u:26.22 psnr_v:32.54 
n:71 mse_avg:1113.43 mse_y:1615.96 mse_u:175.52 mse_v:41.21 psnr_avg:17.66 psnr_y:16.05 psnr_u:25.69 psnr_v:31.98 
n:72 mse_avg:1136.32 mse_y:1649.38 mse_u:178.18 mse_v:42.21 psnr_avg:17.58 psnr_y:15.96 psnr_u:25.62 psnr_v:31.88 
n:73 mse_avg:1136.79 mse_y:1648.51 mse_u:184.51 mse_v:42.21 psnr_avg:17.57 psnr_y:15.96 psnr_u:25.47 psnr_v:31.88 
n:74 mse_avg:1068.57 mse_y:1548.68 mse_u:177.52 mse_v:39.16 psnr_avg:17.84 psnr_y:16.23 psnr_u:25.64 psnr_v:32.20 
n:75 mse_avg:1072.00 mse_y:1553.71 mse_u:177.33 mse_v:39.86 psnr_avg:17.83 psnr_y:16.22 psnr_u:25.64 psnr_v:32.13 
n:76 mse_avg:1026.41 mse_y:1487.13 mse_u:171.80 mse_v:38.14 psnr_avg:18.02 psnr_y:16.41 psnr_u:25.78 psnr_v:32.32 
