n:1 mse_avg:9.76 mse_y:10.97 mse_u:7.93 mse_v:6.72 psnr_avg:38.24 psnr_y:37.73 psnr_u:39.14 psnr_v:39.86 
n:38 mse_avg:947.21 mse_y:1376.94 mse_u:141.19 mse_v:34.30 psnr_avg:18.37 psnr_y:16.74 psnr_u:26.63 psnr_v:32.78 
n:39 mse_avg:907.88 mse_y:1319.00 mse_u:137.40 mse_v:33.87 psnr_avg:18.55 psnr_y:16.93 psnr_u:26.75 psnr_v:32.83 
n:40 mse_avg:887.75 mse_y:1289.93 mse_u:133.31 mse_v:33.47 psnr_avg:18.65 psnr_y:17.03 psnr_u:26.88 psnr_v:32.88 
n:41 mse_avg:896.02 mse_y:1301.06 mse_u:136.81 mse_v:35.11 psnr_avg:18.61 psnr_y:16.99 psnr_u:26.77 psnr_v:32.68 
n:42 mse_avg:891.99 mse_y:1296.62 mse_u:131.73 mse_v:33.75 psnr_avg:18.63 psnr_y:17.00 psnr_u:26.93 psnr_v:32.85 
n:43 mse_avg:824.15 mse_y:1197.29 mse_u:123.62 mse_v:32.14 psnr_avg:18.97 psnr_y:17.35 psnr_u:27.21 psnr_v:33.06 
n:44 mse_avg:847.50 mse_y:1232.27 mse_u:123.67 mse_v:32.22 psnr_avg:18.85 psnr_y:17.22 psnr_u:27.21 psnr_v:33.05 
n:45 mse_avg:873.50 mse_y:1269.53 mse_u:128.73 mse_v:34.14 psnr_avg:18.72 psnr_y:17.09 psnr_u:27.03 psnr_v:32.80 
n:46 mse_avg:769.60 mse_y:1118.41 mse_u:113.08 mse_v:30.90 psnr_avg:19.27 psnr_y:17.64 psnr_u:27.60 psnr_v:33.23 
n:47 mse_avg:806.24 mse_y:1171.61 mse_u:119.15 mse_v:31.88 psnr_avg:19.07 psnr_y:17.44 psnr_u:27.37 psnr_v:33.10 
n:48 mse_avg:820.69 mse_y:1193.41 mse_u:118.46 mse_v:32.06 psnr_avg:18.99 psnr_y:17.36 psnr_u:27.40 psnr_v:33.07 
n:49 mse_avg:814.33 mse_y:1182.93 mse_u:121.13 mse_v:33.13 psnr_avg:19.02 psnr_y:17.40 psnr_u:27.30 psnr_v:32.93 
n:50 mse_avg:815.48 mse_y:1185.50 mse_u:118.93 mse_v:31.97 psnr_avg:19.02 psnr_y:17.39 psnr_u:27.38 psnr_v:33.08 
n:51 mse_avg:896.97 mse_y:1300.78 mse_u:140.48 mse_v:38.23 psnr_avg:18.60 psnr_y:16.99 psnr_u:26.65 psnr_v:32.31 
n:52 mse_avg:896.10 mse_y:1302.35 mse_u:131.28 mse_v:35.93 psnr_avg:18.61 psnr_y:16.98 psnr_u:26.95 psnr_v:32.58 
n:53 mse_avg:902.24 mse_y:1310.93 mse_u:132.76 mse_v:36.97 psnr_avg:18.58 psnr_y:16.96 psnr_u:26.90 psnr_v:32.45 
n:54 mse_avg:877.71 mse_y:1275.96 mse_u:126.88 mse_v:35.55 psnr_avg:18.70 psnr_y:17.07 psnr_u:27.10 psnr_v:32.62 
n:55 mse_avg:896.70 mse_y:1302.27 mse_u:134.83 mse_v:36.30 psnr_avg:18.60 psnr_y:16.98 psnr_u:26.83 psnr_v:32.53 
n:56 mse_avg:887.09 mse_y:1289.30 mse_u:130.25 mse_v:35.12 psnr_avg:18.65 psnr_y:17.03 psnr_u:26.98 psnr_v:32.68 
n:57 mse_avg:880.27 mse_y:1278.80 mse_u:131.23 mse_v:35.23 psnr_avg:18.68 psnr_y:17.06 psnr_u:26.95 psnr_v:32.66 
n:58 mse_avg:883.14 mse_y:1283.23 mse_u:130.71 mse_v:35.23 psnr_avg:18.67 psnr_y:17.05 psnr_u:26.97 psnr_v:32.66 
n:59 mse_avg:916.20 mse_y:1330.18 mse_u:139.80 mse_v:36.68 psnr_avg:18.51 psnr_y:16.89 psnr_u:26.68 psnr_v:32.49 
n:60 mse_avg:916.17 mse_y:1331.82 mse_u:134.46 mse_v:35.26 psnr_avg:18.51 psnr_y:16.89 psnr_u:26.84 psnr_v:32.66 
n:61 mse_avg:937.43 mse_y:1361.97 mse_u:140.19 mse_v:36.54 psnr_avg:18.41 psnr_y:16.79 psnr_u:26.66 psnr_v:32.50 
n:62 mse_avg:880.95 mse_y:1278.99 mse_u:133.99 mse_v:35.74 psnr_avg:18.68 psnr_y:17.06 psnr_u:26.86 psnr_v:32.60 
n:63 mse_avg:910.80 mse_y:1321.28 mse_u:142.58 mse_v:37.10 psnr_avg:18.54 psnr_y:16.92 psnr_u:26.59 psnr_v:32.44 
n:64 mse_avg:944.26 mse_y:1371.23 mse_u:144.07 mse_v:36.56 psnr_avg:18.38 psnr_y:16.76 psnr_u:26.55 psnr_v:32.50 
n:65 mse_avg:965.91 mse_y:1402.09 mse_u:149.82 mse_v:37.29 psnr_avg:18.28 psnr_y:16.66 psnr_u:26.38 psnr_v:32.41 
n:66 mse_avg:971.60 mse_y:1410.37 mse_u:150.49 mse_v:37.61 psnr_avg:18.26 psnr_y:16.64 psnr_u:26.36 psnr_v:32.38 
n:67 mse_avg:950.55 mse_y:1377.53 mse_u:155.14 mse_v:38.04 psnr_avg:18.35 psnr_y:16.74 psnr_u:26.22 psnr_v:32.33 
n:68 mse_avg:936.58 mse_y:1358.47 mse_u:148.45 mse_v:37.14 psnr_avg:18.42 psnr_y:16.80 psnr_u:26.42 psnr_v:32.43 
n:69 mse_avg:930.06 mse_y:1348.27 mse_u:150.10 mse_v:37.17 psnr_avg:18.45 psnr_y:16.83 psnr_u:26.37 psnr_v:32.43 
n:70 mse_avg:1005.53 mse_y:1458.61 mse_u:161.10 mse_v:37.62 psnr_avg:18.11 psnr_y:16.49 psnr_u:26.06 psnr_v:32.38 
n:71 mse_avg:1124.84 mse_y:1630.78 mse_u:182.92 mse_v:43.01 psnr_avg:17.62 psnr_y:16.01 psnr_u:25.51 psnr_v:31.79 
n:72 mse_avg:1149.76 mse_y:1667.70 mse_u:184.10 mse_v:43.63 psnr_avg:17.52 psnr_y:15.91 psnr_u:25.48 psnr_v:31.73 
n:73 mse_avg:1147.09 mse_y:1662.10 mse_u:190.51 mse_v:43.62 psnr_avg:17.53 psnr_y:15.92 psnr_u:25.33 psnr_v:31.73 
n:74 mse_avg:1080.47 mse_y:1564.85 mse_u:182.99 mse_v:40.43 psnr_avg:17.79 psnr_y:16.19 psnr_u:25.51 psnr_v:32.06 
n:75 mse_avg:1083.75 mse_y:1569.02 mse_u:184.89 mse_v:41.54 psnr_avg:17.78 psnr_y:16.17 psnr_u:25.46 psnr_v:31.95 
n:76 mse_avg:1040.56 mse_y:1506.61 mse_u:177.49 mse_v:39.44 psnr_avg:17.96 psnr_y:16.35 psnr_u:25.64 psnr_v:32.17 
n:77 mse_avg:1082.69 mse_y:1567.01 mse_u:187.75 mse_v:40.39 psnr_avg:17.79 psnr_y:16.18 psnr_u:25.39 psnr_v:32.07 
n:78 mse_avg:1126.38 mse_y:1631.12 mse_u:192.39 mse_v:41.40 psnr_avg:17.61 psnr_y:16.01 psnr_u:25.29 psnr_v:31.96 
n:79 mse_avg:1181.33 mse_y:1710.38 mse_u:202.96 mse_v:43.51 psnr_avg:17.41 psnr_y:15.80 psnr_u:25.06 psnr_v:31.74 
n:80 mse_avg:1148.82 mse_y:1662.89 mse_u:200.45 mse_v:40.88 psnr_avg:17.53 psnr_y:15.92 psnr_u:25.11 psnr_v:32.02 
n:81 mse_avg:1189.03 mse_y:1720.93 mse_u:209.02 mse_v:41.44 psnr_avg:17.38 psnr_y:15.77 psnr_u:24.93 psnr_v:31.96 
n:82 mse_avg:1201.19 mse_y:1739.26 mse_u:207.70 mse_v:42.36 psnr_avg:17.33 psnr_y:15.73 psnr_u:24.96 psnr_v:31.86 
n:83 mse_avg:1165.89 mse_y:1685.96 mse_u:209.03 mse_v:42.50 psnr_avg:17.46 psnr_y:15.86 psnr_u:24.93 psnr_v:31.85 
n:84 mse_avg:1135.22 mse_y:1641.78 mse_u:202.24 mse_v:41.96 psnr_avg:17.58 psnr_y:15.98 psnr_u:25.07 psnr_v:31.90 
n:85 mse_avg:1129.76 mse_y:1632.97 mse_u:204.63 mse_v:42.04 psnr_avg:17.60 psnr_y:16.00 psnr_u:25.02 psnr_v:31.89 
