n:1 mse_avg:53.65 mse_y:71.55 mse_u:21.96 mse_v:13.73 psnr_avg:30.84 psnr_y:29.58 psnr_u:34.71 psnr_v:36.75 
n:2 mse_avg:469.40 mse_y:678.44 mse_u:77.88 mse_v:24.79 psnr_avg:21.42 psnr_y:19.82 psnr_u:29.22 psnr_v:34.19 
n:3 mse_avg:812.11 mse_y:1179.82 mse_u:119.69 mse_v:33.70 psnr_avg:19.03 psnr_y:17.41 psnr_u:27.35 psnr_v:32.85 
n:4 mse_avg:1034.59 mse_y:1506.10 mse_u:143.94 mse_v:39.20 psnr_avg:17.98 psnr_y:16.35 psnr_u:26.55 psnr_v:32.20 
n:5 mse_avg:1083.95 mse_y:1575.92 mse_u:158.91 mse_v:41.11 psnr_avg:17.78 psnr_y:16.16 psnr_u:26.12 psnr_v:31.99 
n:6 mse_avg:1049.85 mse_y:1525.13 mse_u:156.42 mse_v:42.19 psnr_avg:17.92 psnr_y:16.30 psnr_u:26.19 psnr_v:31.88 
n:7 mse_avg:1003.37 mse_y:1458.03 mse_u:147.85 mse_v:40.25 psnr_avg:18.12 psnr_y:16.49 psnr_u:26.43 psnr_v:32.08 
n:8 mse_avg:1056.81 mse_y:1537.13 mse_u:153.65 mse_v:38.68 psnr_avg:17.89 psnr_y:16.26 psnr_u:26.27 psnr_v:32.26 
n:9 mse_avg:977.84 mse_y:1421.96 mse_u:141.48 mse_v:37.73 psnr_avg:18.23 psnr_y:16.60 psnr_u:26.62 psnr_v:32.36 
n:10 mse_avg:877.37 mse_y:1275.49 mse_u:128.16 mse_v:34.09 psnr_avg:18.70 psnr_y:17.07 psnr_u:27.05 psnr_v:32.80 
n:11 mse_avg:926.45 mse_y:1345.80 mse_u:141.03 mse_v:34.46 psnr_avg:18.46 psnr_y:16.84 psnr_u:26.64 psnr_v:32.76 
n:12 mse_avg:868.89 mse_y:1260.85 mse_u:135.98 mse_v:33.95 psnr_avg:18.74 psnr_y:17.12 psnr_u:26.80 psnr_v:32.82 
n:13 mse_avg:839.44 mse_y:1217.38 mse_u:131.16 mse_v:35.99 psnr_avg:18.89 psnr_y:17.28 psnr_u:26.95 psnr_v:32.57 
n:14 mse_avg:843.85 mse_y:1224.48 mse_u:129.89 mse_v:35.30 psnr_avg:18.87 psnr_y:17.25 psnr_u:26.99 psnr_v:32.65 
n:15 mse_avg:898.85 mse_y:1304.44 mse_u:138.57 mse_v:36.75 psnr_avg:18.59 psnr_y:16.98 psnr_u:26.71 psnr_v:32.48 
n:16 mse_avg:919.14 mse_y:1333.68 mse_u:142.78 mse_v:37.36 psnr_avg:18.50 psnr_y:16.88 psnr_u:26.58 psnr_v:32.41 
n:17 mse_avg:948.39 mse_y:1375.93 mse_u:148.35 mse_v:38.28 psnr_avg:18.36 psnr_y:16.74 psnr_u:26.42 psnr_v:32.30 
