n:1 mse_avg:122.15 mse_y:167.54 mse_u:45.49 mse_v:17.24 psnr_avg:27.26 psnr_y:25.89 psnr_u:31.55 psnr_v:35.77 
n:2 mse_avg:441.73 mse_y:638.09 mse_u:75.18 mse_v:22.83 psnr_avg:21.68 psnr_y:20.08 psnr_u:29.37 psnr_v:34.55 
n:3 mse_avg:763.83 mse_y:1111.84 mse_u:106.52 mse_v:29.09 psnr_avg:19.30 psnr_y:17.67 psnr_u:27.86 psnr_v:33.49 
n:4 mse_avg:1000.68 mse_y:1460.73 mse_u:127.65 mse_v:33.47 psnr_avg:18.13 psnr_y:16.49 psnr_u:27.07 psnr_v:32.88 
n:5 mse_avg:1038.11 mse_y:1514.00 mse_u:139.30 mse_v:33.31 psnr_avg:17.97 psnr_y:16.33 psnr_u:26.69 psnr_v:32.90 
n:6 mse_avg:1027.28 mse_y:1497.70 mse_u:138.80 mse_v:34.08 psnr_avg:18.01 psnr_y:16.38 psnr_u:26.71 psnr_v:32.81 
n:7 mse_avg:981.35 mse_y:1431.86 mse_u:128.40 mse_v:32.26 psnr_avg:18.21 psnr_y:16.57 psnr_u:27.05 psnr_v:33.04 
n:8 mse_avg:1028.54 mse_y:1501.25 mse_u:134.19 mse_v:32.09 psnr_avg:18.01 psnr_y:16.37 psnr_u:26.85 psnr_v:33.07 
n:9 mse_avg:937.81 mse_y:1367.83 mse_u:123.58 mse_v:32.00 psnr_avg:18.41 psnr_y:16.77 psnr_u:27.21 psnr_v:33.08 
n:10 mse_avg:856.38 mse_y:1247.53 mse_u:117.74 mse_v:30.43 psnr_avg:18.80 psnr_y:17.17 psnr_u:27.42 psnr_v:33.30 
n:11 mse_avg:902.28 mse_y:1313.93 mse_u:127.89 mse_v:30.05 psnr_avg:18.58 psnr_y:16.95 psnr_u:27.06 psnr_v:33.35 
n:12 mse_avg:843.51 mse_y:1227.75 mse_u:120.59 mse_v:29.52 psnr_avg:18.87 psnr_y:17.24 psnr_u:27.32 psnr_v:33.43 
n:13 mse_avg:792.69 mse_y:1153.33 mse_u:112.40 mse_v:30.45 psnr_avg:19.14 psnr_y:17.51 psnr_u:27.62 psnr_v:33.29 
n:14 mse_avg:811.24 mse_y:1181.11 mse_u:112.28 mse_v:30.73 psnr_avg:19.04 psnr_y:17.41 psnr_u:27.63 psnr_v:33.26 
n:15 mse_avg:862.08 mse_y:1255.31 mse_u:119.44 mse_v:31.80 psnr_avg:18.78 psnr_y:17.14 psnr_u:27.36 psnr_v:33.11 
n:16 mse_avg:885.72 mse_y:1289.81 mse_u:123.02 mse_v:32.06 psnr_avg:18.66 psnr_y:17.03 psnr_u:27.23 psnr_v:33.07 
n:17 mse_avg:898.67 mse_y:1308.50 mse_u:125.68 mse_v:32.39 psnr_avg:18.59 psnr_y:16.96 psnr_u:27.14 psnr_v:33.03 
n:18 mse_avg:913.28 mse_y:1330.16 mse_u:126.60 mse_v:32.41 psnr_avg:18.52 psnr_y:16.89 psnr_u:27.11 psnr_v:33.02 
