n:1 mse_avg:78.14 mse_y:103.93 mse_u:37.51 mse_v:15.59 psnr_avg:29.20 psnr_y:27.96 psnr_u:32.39 psnr_v:36.20 
n:2 mse_avg:454.78 mse_y:657.83 mse_u:74.87 mse_v:22.48 psnr_avg:21.55 psnr_y:19.95 psnr_u:29.39 psnr_v:34.61 
n:3 mse_avg:794.86 mse_y:1157.57 mse_u:109.80 mse_v:29.05 psnr_avg:19.13 psnr_y:17.50 psnr_u:27.72 psnr_v:33.50 
n:4 mse_avg:1034.26 mse_y:1510.02 mse_u:132.14 mse_v:33.33 psnr_avg:17.98 psnr_y:16.34 psnr_u:26.92 psnr_v:32.90 
n:5 mse_avg:1075.86 mse_y:1569.13 mse_u:145.00 mse_v:33.65 psnr_avg:17.81 psnr_y:16.17 psnr_u:26.52 psnr_v:32.86 
n:6 mse_avg:1057.17 mse_y:1541.45 mse_u:142.98 mse_v:34.27 psnr_avg:17.89 psnr_y:16.25 psnr_u:26.58 psnr_v:32.78 
n:7 mse_avg:1012.54 mse_y:1477.45 mse_u:133.01 mse_v:32.43 psnr_avg:18.08 psnr_y:16.44 psnr_u:26.89 psnr_v:33.02 
n:8 mse_avg:1061.17 mse_y:1549.31 mse_u:137.29 mse_v:32.50 psnr_avg:17.87 psnr_y:16.23 psnr_u:26.75 psnr_v:33.01 
n:9 mse_avg:968.03 mse_y:1412.51 mse_u:125.58 mse_v:32.60 psnr_avg:18.27 psnr_y:16.63 psnr_u:27.14 psnr_v:33.00 
n:10 mse_avg:885.07 mse_y:1290.21 mse_u:118.53 mse_v:31.02 psnr_avg:18.66 psnr_y:17.02 psnr_u:27.39 psnr_v:33.21 
n:11 mse_avg:940.26 mse_y:1370.36 mse_u:129.51 mse_v:30.63 psnr_avg:18.40 psnr_y:16.76 psnr_u:27.01 psnr_v:33.27 
n:12 mse_avg:880.63 mse_y:1282.97 mse_u:121.76 mse_v:30.11 psnr_avg:18.68 psnr_y:17.05 psnr_u:27.28 psnr_v:33.34 
n:13 mse_avg:834.11 mse_y:1214.98 mse_u:113.93 mse_v:30.78 psnr_avg:18.92 psnr_y:17.29 psnr_u:27.56 psnr_v:33.25 
n:14 mse_avg:848.44 mse_y:1236.35 mse_u:113.99 mse_v:31.26 psnr_avg:18.84 psnr_y:17.21 psnr_u:27.56 psnr_v:33.18 
n:15 mse_avg:898.15 mse_y:1309.14 mse_u:120.27 mse_v:32.09 psnr_avg:18.60 psnr_y:16.96 psnr_u:27.33 psnr_v:33.07 
n:16 mse_avg:926.49 mse_y:1350.69 mse_u:123.85 mse_v:32.30 psnr_avg:18.46 psnr_y:16.83 psnr_u:27.20 psnr_v:33.04 
n:17 mse_avg:947.22 mse_y:1381.04 mse_u:126.86 mse_v:32.30 psnr_avg:18.37 psnr_y:16.73 psnr_u:27.10 psnr_v:33.04 
n:18 mse_avg:950.40 mse_y:1385.60 mse_u:127.84 mse_v:32.14 psnr_avg:18.35 psnr_y:16.71 psnr_u:27.06 psnr_v:33.06 
n:19 mse_avg:1006.56 mse_y:1469.66 mse_u:129.61 mse_v:31.10 psnr_avg:18.10 psnr_y:16.46 psnr_u:27.00 psnr_v:33.20 
n:20 mse_avg:950.27 mse_y:1386.85 mse_u:125.05 mse_v:29.16 psnr_avg:18.35 psnr_y:16.71 psnr_u:27.16 psnr_v:33.48 
n:21 mse_avg:925.44 mse_y:1349.75 mse_u:123.69 mse_v:29.95 psnr_avg:18.47 psnr_y:16.83 psnr_u:27.21 psnr_v:33.37 
n:22 mse_avg:823.68 mse_y:1200.10 mse_u:112.76 mse_v:28.92 psnr_avg:18.97 psnr_y:17.34 psnr_u:27.61 psnr_v:33.52 
n:23 mse_avg:769.34 mse_y:1120.55 mse_u:105.10 mse_v:28.76 psnr_avg:19.27 psnr_y:17.64 psnr_u:27.91 psnr_v:33.54 
n:24 mse_avg:840.70 mse_y:1227.40 mse_u:106.22 mse_v:28.37 psnr_avg:18.88 psnr_y:17.24 psnr_u:27.87 psnr_v:33.60 
n:25 mse_avg:968.88 mse_y:1414.69 mse_u:123.38 mse_v:31.17 psnr_avg:18.27 psnr_y:16.62 psnr_u:27.22 psnr_v:33.19 
n:26 mse_avg:949.33 mse_y:1385.00 mse_u:125.06 mse_v:30.95 psnr_avg:18.36 psnr_y:16.72 psnr_u:27.16 psnr_v:33.22 
n:27 mse_avg:917.53 mse_y:1338.38 mse_u:122.02 mse_v:29.63 psnr_avg:18.50 psnr_y:16.87 psnr_u:27.27 psnr_v:33.41 
n:28 mse_avg:828.70 mse_y:1207.00 mse_u:116.41 mse_v:27.81 psnr_avg:18.95 psnr_y:17.31 psnr_u:27.47 psnr_v:33.69 
n:29 mse_avg:900.27 mse_y:1313.42 mse_u:119.35 mse_v:28.59 psnr_avg:18.59 psnr_y:16.95 psnr_u:27.36 psnr_v:33.57 
n:30 mse_avg:934.90 mse_y:1363.54 mse_u:124.35 mse_v:30.88 psnr_avg:18.42 psnr_y:16.78 psnr_u:27.18 psnr_v:33.23 
n:31 mse_avg:822.66 mse_y:1197.85 mse_u:114.99 mse_v:29.57 psnr_avg:18.98 psnr_y:17.35 psnr_u:27.52 psnr_v:33.42 
n:32 mse_avg:792.17 mse_y:1153.73 mse_u:108.90 mse_v:29.15 psnr_avg:19.14 psnr_y:17.51 psnr_u:27.76 psnr_v:33.48 
n:33 mse_avg:809.42 mse_y:1180.74 mse_u:106.09 mse_v:27.48 psnr_avg:19.05 psnr_y:17.41 psnr_u:27.87 psnr_v:33.74 
n:34 mse_avg:814.24 mse_y:1187.53 mse_u:106.99 mse_v:28.29 psnr_avg:19.02 psnr_y:17.38 psnr_u:27.84 psnr_v:33.61 
n:35 mse_avg:779.59 mse_y:1136.26 mse_u:103.92 mse_v:28.56 psnr_avg:19.21 psnr_y:17.58 psnr_u:27.96 psnr_v:33.57 
n:36 mse_avg:749.20 mse_y:1091.72 mse_u:100.45 mse_v:27.87 psnr_avg:19.38 psnr_y:17.75 psnr_u:28.11 psnr_v:33.68 
