n:1 mse_avg:41.59 mse_y:52.16 mse_u:27.31 mse_v:13.55 psnr_avg:31.94 psnr_y:30.96 psnr_u:33.77 psnr_v:36.81 
n:2 mse_avg:479.41 mse_y:694.92 mse_u:74.86 mse_v:21.91 psnr_avg:21.32 psnr_y:19.71 psnr_u:29.39 psnr_v:34.72 
n:3 mse_avg:827.14 mse_y:1205.02 mse_u:113.80 mse_v:28.98 psnr_avg:18.95 psnr_y:17.32 psnr_u:27.57 psnr_v:33.51 
n:4 mse_avg:1064.07 mse_y:1552.91 mse_u:139.04 mse_v:33.74 psnr_avg:17.86 psnr_y:16.22 psnr_u:26.70 psnr_v:32.85 
n:5 mse_avg:1102.52 mse_y:1607.18 mse_u:152.36 mse_v:34.04 psnr_avg:17.71 psnr_y:16.07 psnr_u:26.30 psnr_v:32.81 
n:6 mse_avg:1079.58 mse_y:1573.20 mse_u:149.34 mse_v:35.34 psnr_avg:17.80 psnr_y:16.16 psnr_u:26.39 psnr_v:32.65 
n:7 mse_avg:1033.62 mse_y:1507.08 mse_u:139.89 mse_v:33.52 psnr_avg:17.99 psnr_y:16.35 psnr_u:26.67 psnr_v:32.88 
n:8 mse_avg:1083.18 mse_y:1580.85 mse_u:142.26 mse_v:33.44 psnr_avg:17.78 psnr_y:16.14 psnr_u:26.60 psnr_v:32.89 
n:9 mse_avg:990.51 mse_y:1445.16 mse_u:129.63 mse_v:32.78 psnr_avg:18.17 psnr_y:16.53 psnr_u:27.00 psnr_v:32.97 
n:10 mse_avg:908.28 mse_y:1324.44 mse_u:120.68 mse_v:31.26 psnr_avg:18.55 psnr_y:16.91 psnr_u:27.31 psnr_v:33.18 
n:11 mse_avg:966.56 mse_y:1409.22 mse_u:131.62 mse_v:30.86 psnr_avg:18.28 psnr_y:16.64 psnr_u:26.94 psnr_v:33.24 
n:12 mse_avg:905.34 mse_y:1319.11 mse_u:125.47 mse_v:30.13 psnr_avg:18.56 psnr_y:16.93 psnr_u:27.15 psnr_v:33.34 
n:13 mse_avg:857.86 mse_y:1249.38 mse_u:118.61 mse_v:31.01 psnr_avg:18.80 psnr_y:17.16 psnr_u:27.39 psnr_v:33.22 
n:14 mse_avg:875.20 mse_y:1275.42 mse_u:118.15 mse_v:31.36 psnr_avg:18.71 psnr_y:17.07 psnr_u:27.41 psnr_v:33.17 
n:15 mse_avg:931.07 mse_y:1357.24 mse_u:125.02 mse_v:32.45 psnr_avg:18.44 psnr_y:16.80 psnr_u:27.16 psnr_v:33.02 
n:16 mse_avg:958.11 mse_y:1396.48 mse_u:129.86 mse_v:32.86 psnr_avg:18.32 psnr_y:16.68 psnr_u:27.00 psnr_v:32.96 
n:17 mse_avg:981.16 mse_y:1430.06 mse_u:133.86 mse_v:32.87 psnr_avg:18.21 psnr_y:16.58 psnr_u:26.86 psnr_v:32.96 
n:18 mse_avg:985.17 mse_y:1435.85 mse_u:134.96 mse_v:32.64 psnr_avg:18.20 psnr_y:16.56 psnr_u:26.83 psnr_v:32.99 
n:19 mse_avg:1043.64 mse_y:1523.66 mse_u:135.73 mse_v:31.48 psnr_avg:17.95 psnr_y:16.30 psnr_u:26.80 psnr_v:33.15 
n:20 mse_avg:985.10 mse_y:1437.26 mse_u:131.62 mse_v:29.93 psnr_avg:18.20 psnr_y:16.56 psnr_u:26.94 psnr_v:33.37 
n:21 mse_avg:961.62 mse_y:1402.50 mse_u:129.42 mse_v:30.26 psnr_avg:18.30 psnr_y:16.66 psnr_u:27.01 psnr_v:33.32 
n:22 mse_avg:859.41 mse_y:1252.41 mse_u:117.91 mse_v:28.87 psnr_avg:18.79 psnr_y:17.15 psnr_u:27.42 psnr_v:33.53 
n:23 mse_avg:806.80 mse_y:1175.88 mse_u:108.58 mse_v:28.69 psnr_avg:19.06 psnr_y:17.43 psnr_u:27.77 psnr_v:33.55 
n:24 mse_avg:874.12 mse_y:1276.06 mse_u:111.92 mse_v:28.54 psnr_avg:18.72 psnr_y:17.07 psnr_u:27.64 psnr_v:33.58 
n:25 mse_avg:1004.25 mse_y:1466.01 mse_u:129.39 mse_v:32.07 psnr_avg:18.11 psnr_y:16.47 psnr_u:27.01 psnr_v:33.07 
n:26 mse_avg:980.92 mse_y:1430.36 mse_u:131.75 mse_v:32.29 psnr_avg:18.21 psnr_y:16.58 psnr_u:26.93 psnr_v:33.04 
n:27 mse_avg:952.64 mse_y:1389.24 mse_u:128.44 mse_v:30.48 psnr_avg:18.34 psnr_y:16.70 psnr_u:27.04 psnr_v:33.29 
n:28 mse_avg:862.63 mse_y:1256.20 mse_u:122.77 mse_v:28.22 psnr_avg:18.77 psnr_y:17.14 psnr_u:27.24 psnr_v:33.63 
n:29 mse_avg:941.55 mse_y:1373.23 mse_u:126.74 mse_v:29.68 psnr_avg:18.39 psnr_y:16.75 psnr_u:27.10 psnr_v:33.41 
n:30 mse_avg:976.68 mse_y:1423.89 mse_u:132.56 mse_v:31.94 psnr_avg:18.23 psnr_y:16.60 psnr_u:26.91 psnr_v:33.09 
n:31 mse_avg:862.29 mse_y:1256.04 mse_u:119.76 mse_v:29.83 psnr_avg:18.77 psnr_y:17.14 psnr_u:27.35 psnr_v:33.38 
n:32 mse_avg:834.22 mse_y:1215.65 mse_u:113.24 mse_v:29.48 psnr_avg:18.92 psnr_y:17.28 psnr_u:27.59 psnr_v:33.44 
n:33 mse_avg:852.12 mse_y:1243.50 mse_u:110.72 mse_v:28.00 psnr_avg:18.83 psnr_y:17.18 psnr_u:27.69 psnr_v:33.66 
n:34 mse_avg:860.86 mse_y:1256.03 mse_u:112.28 mse_v:28.76 psnr_avg:18.78 psnr_y:17.14 psnr_u:27.63 psnr_v:33.54 
n:35 mse_avg:825.40 mse_y:1203.87 mse_u:108.27 mse_v:28.63 psnr_avg:18.96 psnr_y:17.32 psnr_u:27.79 psnr_v:33.56 
n:36 mse_avg:792.72 mse_y:1155.96 mse_u:104.46 mse_v:28.00 psnr_avg:19.14 psnr_y:17.50 psnr_u:27.94 psnr_v:33.66 
n:37 mse_avg:849.89 mse_y:1240.84 mse_u:107.36 mse_v:28.61 psnr_avg:18.84 psnr_y:17.19 psnr_u:27.82 psnr_v:33.57 
n:38 mse_avg:842.44 mse_y:1230.49 mse_u:104.47 mse_v:28.22 psnr_avg:18.88 psnr_y:17.23 psnr_u:27.94 psnr_v:33.62 
n:39 mse_avg:806.42 mse_y:1177.04 mse_u:101.69 mse_v:28.64 psnr_avg:19.07 psnr_y:17.42 psnr_u:28.06 psnr_v:33.56 
n:40 mse_avg:782.24 mse_y:1141.22 mse_u:99.69 mse_v:28.86 psnr_avg:19.20 psnr_y:17.56 psnr_u:28.14 psnr_v:33.53 
n:41 mse_avg:796.24 mse_y:1162.53 mse_u:98.17 mse_v:29.16 psnr_avg:19.12 psnr_y:17.48 psnr_u:28.21 psnr_v:33.48 
n:42 mse_avg:782.35 mse_y:1142.01 mse_u:97.22 mse_v:28.80 psnr_avg:19.20 psnr_y:17.55 psnr_u:28.25 psnr_v:33.54 
n:43 mse_avg:720.27 mse_y:1050.32 mse_u:92.03 mse_v:28.34 psnr_avg:19.56 psnr_y:17.92 psnr_u:28.49 psnr_v:33.61 
n:44 mse_avg:739.97 mse_y:1079.94 mse_u:92.09 mse_v:27.93 psnr_avg:19.44 psnr_y:17.80 psnr_u:28.49 psnr_v:33.67 
n:45 mse_avg:774.96 mse_y:1131.74 mse_u:93.62 mse_v:29.19 psnr_avg:19.24 psnr_y:17.59 psnr_u:28.42 psnr_v:33.48 
n:46 mse_avg:662.55 mse_y:965.02 mse_u:86.91 mse_v:28.28 psnr_avg:19.92 psnr_y:18.29 psnr_u:28.74 psnr_v:33.62 
n:47 mse_avg:696.25 mse_y:1015.30 mse_u:87.96 mse_v:28.34 psnr_avg:19.70 psnr_y:18.06 psnr_u:28.69 psnr_v:33.61 
n:48 mse_avg:711.88 mse_y:1038.74 mse_u:88.09 mse_v:28.26 psnr_avg:19.61 psnr_y:17.97 psnr_u:28.68 psnr_v:33.62 
n:49 mse_avg:707.25 mse_y:1031.78 mse_u:87.58 mse_v:28.75 psnr_avg:19.64 psnr_y:17.99 psnr_u:28.71 psnr_v:33.54 
n:50 mse_avg:710.21 mse_y:1036.51 mse_u:87.57 mse_v:27.63 psnr_avg:19.62 psnr_y:17.98 psnr_u:28.71 psnr_v:33.72 
n:51 mse_avg:823.77 mse_y:1202.79 mse_u:102.63 mse_v:28.88 psnr_avg:18.97 psnr_y:17.33 psnr_u:28.02 psnr_v:33.53 
n:52 mse_avg:811.67 mse_y:1184.98 mse_u:100.79 mse_v:29.33 psnr_avg:19.04 psnr_y:17.39 psnr_u:28.10 psnr_v:33.46 
n:53 mse_avg:809.30 mse_y:1181.88 mse_u:98.19 mse_v:30.10 psnr_avg:19.05 psnr_y:17.41 psnr_u:28.21 psnr_v:33.35 
n:54 mse_avg:781.54 mse_y:1141.65 mse_u:93.46 mse_v:29.20 psnr_avg:19.20 psnr_y:17.56 psnr_u:28.42 psnr_v:33.48 
